Name,Date,Time-of-stop,Total-number-of-collisions,Duration,Instant contact 1,Instant contact 2,Instant contact 3,Instant contact 4,Instant contact 5,Instant contact 6,Instant contact 7,Instant contact 8,Instant contact 9,Instant contact 10,Instant contact 11,Instant contact 12,Instant contact 13,Instant contact 14,Instant contact 15,Instant contact 16,Instant contact 17,Instant contact 18,Instant contact 19,Instant contact 20,Instant contact 21,Instant contact 22,Instant contact 23,Instant contact 24,Instant contact 25,Instant contact 26,Instant contact 27,Instant contact 28,Instant contact 29,Instant contact 30,Instant contact 31,Instant contact 32,Instant contact 33,Instant contact 34,Instant contact 35,Instant contact 36,Instant contact 37,Instant contact 38,Instant contact 39,Instant contact 40,Instant contact 41,Instant contact 42,Instant contact 43,Instant contact 44,Instant contact 45,Instant contact 46,Instant contact 47,Instant contact 48,Instant contact 49,Instant contact 50,Instant contact 51,Instant contact 52,Instant contact 53,Instant contact 54,Instant contact 55,Instant contact 56,Instant contact 57,Instant contact 58,Instant contact 59,Instant contact 60,Instant contact 61,Instant contact 62,Instant contact 63,Instant contact 64,Instant contact 65,Instant contact 66,Instant contact 67,Instant contact 68,Instant contact 69,Instant contact 70,Instant contact 71,Instant contact 72,Instant contact 73,Instant contact 74,Instant contact 75,Instant contact 76,Instant contact 77,Instant contact 78,Instant contact 79,Instant contact 80,Instant contact 81,Instant contact 82,Instant contact 83,Instant contact 84,Instant contact 85,Instant contact 86,Instant contact 87,Instant contact 88,Instant contact 89,Instant contact 90,Instant contact 91,Instant contact 92,Instant contact 93,Instant contact 94,Instant contact 95,Instant contact 96,Instant contact 97,Instant contact 98,Instant contact 99
Subject_1,08/12/2022,22:30:00.000,11,00:26:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_2,08/12/2022,22:30:00.000,10,00:26:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_3,09/12/2022,21:30:00.000,9,00:13:56.000,00:00:15.900,00:00:33.520,00:02:58.150,00:03:00.460,00:03:46.040,00:11:59.720,00:13:21.050,00:13:34.340,00:13:36.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_4,09/12/2022,21:30:00.000,16,00:13:19.340,00:00:18.910,00:00:21.860,00:00:41.180,00:00:58.240,00:02:10.130,00:02:17.090,00:02:41.680,00:04:00.290,00:07:50.870,00:11:19.810,00:12:44.680,00:12:53.260,00:13:00.590,00:13:06.530,00:13:16.900,00:13:19.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_5,09/12/2022,20:34:00.000,4,00:14:35.000,00:08:41.400,00:09:08.400,00:11:39.800,00:13:53.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_6,09/12/2022,20:26:00.000,16,00:14:26.000,00:02:23.310,00:06:41.070,00:08:33.720,00:09:04.640,00:10:52.350,00:10:53.300,00:11:11.310,00:11:16.330,00:11:22.060,00:11:24.430,00:11:35.320,00:11:41.730,00:11:58.050,00:13:21.250,00:14:07.380,00:14:13.490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_7,09/12/2022,20:25:00.000,12,00:14:30.000,00:00:38.140,00:08:44.340,00:08:46.320,00:08:48.350,00:08:52.790,00:09:13.470,00:09:18.110,00:10:48.220,00:13:55.280,00:13:56.550,00:13:57.210,00:14:03.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_8,09/12/2022,21:55:00.000,96,00:25:19.000,00:00:52.790,00:01:10.400,00:01:10.760,00:01:19.200,00:01:59.420,00:02:01.510,00:02:54.260,00:02:56.670,00:02:57.180,00:03:04.140,00:03:05.840,00:03:20.320,00:03:21.860,00:03:27.900,00:03:28.940,00:03:34.800,00:03:38.810,00:03:43.330,00:03:43.700,00:03:43.940,00:03:44.550,00:03:50.140,00:03:53.290,00:03:57.990,00:03:58.410,00:04:04.200,00:04:08.730,00:04:11.130,00:04:14.050,00:04:15.200,00:04:17.370,00:04:51.970,00:05:18.340,00:05:29.850,00:05:53.560,00:06:55.610,00:07:01.720,00:07:13.710,00:07:20.790,00:07:36.530,00:07:39.320,00:07:45.200,00:07:49.910,00:07:50.200,00:07:57.260,00:07:57.480,00:07:58.930,00:07:59.220,00:07:59.460,00:08:08.230,00:08:08.540,00:08:09.460,00:08:12.370,00:08:19.560,00:08:38.370,00:08:44.810,00:08:49.940,00:09:12.090,00:10:04.470,00:10:17.270,00:10:17.530,00:10:34.840,00:11:21.210,00:17:34.950,00:17:38.320,00:17:40.660,00:17:43.090,00:17:53.730,00:17:57.800,00:18:05.000,00:18:09.130,00:18:10.980,00:18:22.670,00:18:30.340,00:18:39.850,00:19:25.300,00:19:47.030,00:20:10.970,00:20:18.110,00:20:21.820,00:20:22.350,00:20:23.120,00:20:27.300,00:20:37.540,00:20:49.380,00:20:49.780,00:20:50.480,00:20:51.770,00:20:52.850,00:20:55.920,00:20:56.210,00:20:56.660,00:20:57.080,00:20:57.570,00:20:57.980,00:20:59.530,,,
Subject_9,09/12/2022,22:00:00.000,6,00:14:02.000,00:02:19.560,00:05:29.480,00:11:05.170,00:11:12.270,00:11:15.890,00:13:49.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject_10,10/12/2022,20:48:00.000,27,00:12:59.590,00:05:22.470,00:05:30.510,00:05:38.630,00:06:07.820,00:06:11.470,00:06:56.210,00:07:05.820,00:07:34.250,00:07:34.970,00:07:38.030,00:07:41.640,00:07:52.620,00:07:52.940,00:07:53.500,00:08:01.770,00:08:06.140,00:08:06.910,00:08:15.400,00:08:15.680,00:08:27.010,00:08:31.780,00:08:51.940,00:08:53.440,00:08:55.560,00:08:59.090,00:09:02.200,00:11:41.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
