Type,WKT
Buren column,"POLYGON Z ((842438.9066086836 6520324.312773773 5, 842438.4646833282 6520324.227909291 5, 842438.54954781 6520323.785983935 5, 842438.9914731655 6520323.870848417 5, 842438.9066086836 6520324.312773773 5))"
Buren column,"POLYGON Z ((842444.6614543621 6520325.412039655 5, 842444.2195290066 6520325.327175173 5, 842444.3043934884 6520324.885249817 5, 842444.7463188439 6520324.970114299 5, 842444.6614543621 6520325.412039655 5))"
Buren column,"POLYGON Z ((842450.3951742601 6520326.570855444 5, 842449.9532489047 6520326.485990962 5, 842450.0381133865 6520326.044065606 5, 842450.480038742 6520326.128930088 5, 842450.3951742601 6520326.570855444 5))"
Buren column,"POLYGON Z ((842456.251015451 6520327.671066477 5, 842455.8090900956 6520327.586201995 5, 842455.8939545774 6520327.1442766385 5, 842456.3358799329 6520327.229141121 5, 842456.251015451 6520327.671066477 5))"
Buren column,"POLYGON Z ((842462.0336655931 6520328.853225397 5, 842461.5917402377 6520328.768360915 5, 842461.6766047195 6520328.3264355585 5, 842462.118530075 6520328.411300041 5, 842462.0336655931 6520328.853225397 5))"
Buren column,"POLYGON Z ((842467.8511559801 6520329.879279539 5, 842467.4092306247 6520329.794415057 5, 842467.4940951065 6520329.352489701 5, 842467.936020462 6520329.437354183 5, 842467.8511559801 6520329.879279539 5))"
Buren column,"POLYGON Z ((842473.665901915 6520330.972404738 5, 842473.2239765596 6520330.887540256 5, 842473.3088410414 6520330.4456148995 5, 842473.7507663969 6520330.530479382 5, 842473.665901915 6520330.972404738 5))"
Buren column,"POLYGON Z ((842490.9727151761 6520334.278350578 5, 842490.5307898206 6520334.193486095 5, 842490.6156543024 6520333.751560739 5, 842491.0575796579 6520333.8364252215 5, 842490.9727151761 6520334.278350578 5))"
Buren column,"POLYGON Z ((842496.8159779186 6520335.448652074 5, 842496.3740525631 6520335.363787591 5, 842496.4589170449 6520334.921862235 5, 842496.9008424004 6520335.006726718 5, 842496.8159779186 6520335.448652074 5))"
Buren column,"POLYGON Z ((842502.5356944377 6520336.531134489 5, 842502.0937690822 6520336.446270007 5, 842502.178633564 6520336.004344651 5, 842502.6205589195 6520336.089209133 5, 842502.5356944377 6520336.531134489 5))"
Buren column,"POLYGON Z ((842508.2908425784 6520337.703643573 5, 842507.8489172229 6520337.618779091 5, 842507.9337817047 6520337.176853735 5, 842508.3757070602 6520337.261718217 5, 842508.2908425784 6520337.703643573 5))"
Buren column,"POLYGON Z ((842514.1740204915 6520338.745521839 5, 842513.7320951361 6520338.6606573565 5, 842513.8169596179 6520338.218732 5, 842514.2588849734 6520338.303596483 5, 842514.1740204915 6520338.745521839 5))"
Buren column,"POLYGON Z ((842519.784809609 6520339.89630778 5, 842519.3428842535 6520339.811443298 5, 842519.4277487353 6520339.369517942 5, 842519.8696740908 6520339.454382424 5, 842519.784809609 6520339.89630778 5))"
Buren column,"POLYGON Z ((842525.5879938806 6520340.958505337 5, 842525.1460685252 6520340.873640855 5, 842525.230933007 6520340.431715499 5, 842525.6728583624 6520340.516579981 5, 842525.5879938806 6520340.958505337 5))"
