# trajectory data of sequence CCTV
# this contains the extraction from a single frame
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
1 0 -2.440 -11.090 1.8 813.000 842525.72 6520302.37
2 0 -2.970 -11.020 1.8 813.000 842525.75 6520301.83
3 0 -2.330 -10.470 1.8 813.000 842525.09 6520302.36
4 0 -1.780 -11.890 1.8 813.000 842526.39 6520303.17
5 0 -1.200 -11.960 1.8 813.000 842526.35 6520303.75
6 0 -2.390 -12.490 1.8 813.000 842527.09 6520302.67
7 0 -1.660 -12.680 1.8 813.000 842527.14 6520303.43
8 0 -2.120 -12.810 1.8 813.000 842527.36 6520303.00
9 0 -4.510 -10.980 1.8 813.000 842526.00 6520300.31
10 0 -4.310 -11.820 1.8 813.000 842526.78 6520300.67
11 0 -4.170 -12.850 1.8 813.000 842527.77 6520301.00
12 0 -3.740 -12.310 1.8 813.000 842527.16 6520301.31
13 0 -4.830 -12.620 1.8 813.000 842527.67 6520300.30
14 0 -2.270 -13.560 1.8 813.000 842528.12 6520302.99
15 0 -0.900 -12.600 1.8 813.000 842526.92 6520304.16
16 0 -4.380 7.210 1.8 813.000 842508.09 6520297.08
17 0 -4.240 7.390 1.8 813.000 842507.89 6520297.19
18 0 -4.240 7.390 1.8 813.000 842507.89 6520297.19
19 0 -4.030 6.730 1.8 813.000 842508.50 6520297.52
20 0 -4.030 6.730 1.8 813.000 842508.50 6520297.52
21 0 -4.030 6.730 1.8 813.000 842508.50 6520297.52
22 0 -1.200 -16.700 1.8 813.000 842531.00 6520304.63
23 0 -0.740 -16.580 1.8 813.000 842530.80 6520305.05
24 0 1.080 32.000 1.8 813.000 842482.72 6520297.87
25 0 1.050 31.810 1.8 813.000 842482.91 6520297.88
26 0 1.050 31.810 1.8 813.000 842482.91 6520297.88
27 0 -7.280 -14.690 1.8 813.000 842530.15 6520298.28
28 0 -7.980 -14.510 1.8 813.000 842530.10 6520297.55
29 0 -21.430 -14.650 1.8 813.000 842532.72 6520284.37
30 0 -20.840 -14.770 1.8 813.000 842532.74 6520284.97
31 0 -20.560 -14.790 1.8 813.000 842532.70 6520285.24
32 0 -17.830 -11.710 1.8 813.000 842529.17 6520287.36
33 0 -17.640 -11.620 1.8 813.000 842529.05 6520287.53
34 0 -20.440 -11.780 1.8 813.000 842529.72 6520284.81
35 0 -21.790 -10.700 1.8 813.000 842528.91 6520283.28
36 0 -22.970 -10.110 1.8 813.000 842528.54 6520282.01
37 0 -23.780 -10.120 1.8 813.000 842528.71 6520281.22
38 0 -19.970 -11.960 1.8 813.000 842529.82 6520285.30
39 0 -24.240 -10.790 1.8 813.000 842529.46 6520280.89
40 0 -23.330 -6.250 1.8 813.000 842524.83 6520280.94
41 0 -22.730 -6.000 1.8 813.000 842524.46 6520281.49
42 0 -22.130 -6.550 1.8 813.000 842524.89 6520282.18
43 0 -22.410 -8.600 1.8 813.000 842526.96 6520282.28
44 0 -23.460 -9.800 1.8 813.000 842528.33 6520281.48
45 0 -21.040 -13.540 1.8 813.000 842531.57 6520284.54
46 0 -16.050 -17.760 1.8 813.000 842534.79 6520290.23
47 0 -15.130 -17.790 1.8 813.000 842534.65 6520291.13
48 0 -17.890 -13.710 1.8 813.000 842531.14 6520287.67
49 0 -17.610 -13.720 1.8 813.000 842531.11 6520287.94
50 0 -17.210 -13.930 1.8 813.000 842531.24 6520288.38
51 0 -17.030 -13.130 1.8 813.000 842530.42 6520288.41
52 0 -17.990 -11.970 1.8 813.000 842529.46 6520287.25
53 0 -17.330 -13.120 1.8 813.000 842530.46 6520288.11
54 0 -16.840 -10.210 1.8 813.000 842527.51 6520288.06
55 0 -7.350 -15.590 1.8 813.000 842531.05 6520298.38
56 0 -7.400 -13.740 1.8 813.000 842529.24 6520297.98
57 0 -6.190 -13.190 1.8 813.000 842528.48 6520299.07
58 0 -5.860 -13.470 1.8 813.000 842528.69 6520299.45
59 0 -4.030 -14.310 1.8 813.000 842529.18 6520301.40
60 0 -3.470 -15.110 1.8 813.000 842529.86 6520302.10
61 0 -3.080 -14.630 1.8 813.000 842529.32 6520302.40
62 0 -3.890 -14.850 1.8 813.000 842529.68 6520301.64
63 0 -3.630 -14.350 1.8 813.000 842529.14 6520301.80
64 0 -3.240 -14.610 1.8 813.000 842529.33 6520302.23
65 0 -1.860 -14.230 1.8 813.000 842528.70 6520303.52
66 0 -1.220 -14.320 1.8 813.000 842528.67 6520304.17
67 0 -1.580 -14.440 1.8 813.000 842528.85 6520303.83
68 0 -0.400 -12.770 1.8 813.000 842526.99 6520304.69
69 0 -0.470 -13.140 1.8 813.000 842527.37 6520304.69
70 0 0.130 -13.100 1.8 813.000 842527.22 6520305.27
71 0 0.570 -13.170 1.8 813.000 842527.21 6520305.71
72 0 4.540 -15.060 1.8 813.000 842528.33 6520309.96
73 0 5.580 -15.730 1.8 813.000 842528.80 6520311.11
74 0 12.280 -12.220 1.8 813.000 842524.11 6520317.05
75 0 11.930 -13.540 1.8 813.000 842525.47 6520316.95
76 0 12.490 -13.270 1.8 813.000 842525.11 6520317.44
77 0 15.490 -15.180 1.8 813.000 842526.43 6520320.75
78 0 16.120 -15.230 1.8 813.000 842526.36 6520321.37
79 0 15.150 -16.770 1.8 813.000 842528.05 6520320.70
80 0 16.670 -12.700 1.8 813.000 842523.77 6520321.45
81 0 17.190 -12.800 1.8 813.000 842523.77 6520321.98
82 0 18.030 -13.230 1.8 813.000 842524.05 6520322.88
83 0 18.150 -12.630 1.8 813.000 842523.43 6520322.89
84 0 20.300 -15.350 1.8 813.000 842525.71 6520325.50
85 0 20.700 -15.630 1.8 813.000 842525.91 6520325.95
86 0 20.760 -13.830 1.8 813.000 842524.12 6520325.67
87 0 21.180 -13.410 1.8 813.000 842523.64 6520326.01
88 0 18.170 -11.720 1.8 813.000 842522.54 6520322.74
89 0 18.830 -11.540 1.8 813.000 842522.24 6520323.36
90 0 15.810 -10.350 1.8 813.000 842521.62 6520320.17
91 0 16.830 -10.140 1.8 813.000 842521.23 6520321.13
92 0 17.220 -9.430 1.8 813.000 842520.45 6520321.39
93 0 16.690 -9.280 1.8 813.000 842520.41 6520320.83
94 0 16.460 -8.370 1.8 813.000 842519.55 6520320.44
95 0 -15.270 -11.430 1.8 813.000 842528.42 6520289.83
96 0 -15.590 -11.880 1.8 813.000 842528.92 6520289.59
97 0 -14.370 -12.540 1.8 813.000 842529.34 6520290.92
98 0 -12.660 -11.570 1.8 813.000 842528.08 6520292.42
99 0 -13.250 -11.760 1.8 813.000 842528.37 6520291.87
100 0 -13.620 -11.100 1.8 813.000 842527.79 6520291.38
101 0 -12.720 -10.820 1.8 813.000 842527.35 6520292.22
102 0 -12.640 -10.290 1.8 813.000 842526.82 6520292.20
103 0 -14.400 -8.670 1.8 813.000 842525.55 6520290.16
104 0 -14.920 -8.660 1.8 813.000 842525.64 6520289.66
105 0 -15.630 -8.750 1.8 813.000 842525.86 6520288.97
106 0 -9.380 -11.350 1.8 813.000 842527.26 6520295.59
107 0 -8.700 -11.840 1.8 813.000 842527.61 6520296.36
108 0 -8.710 -11.200 1.8 813.000 842526.98 6520296.22
109 0 -8.940 -9.780 1.8 813.000 842525.63 6520295.74
110 0 2.900 -12.510 1.8 813.000 842526.13 6520307.88
111 0 3.430 -12.510 1.8 813.000 842526.03 6520308.40
112 0 1.070 -12.630 1.8 813.000 842526.59 6520306.11
113 0 13.450 -9.060 1.8 813.000 842520.79 6520317.61
114 0 13.660 -9.120 1.8 813.000 842520.81 6520317.83
115 0 15.740 -9.420 1.8 813.000 842520.72 6520319.93
116 0 12.580 -8.330 1.8 813.000 842520.24 6520316.62
117 0 11.990 -8.680 1.8 813.000 842520.68 6520316.10
118 0 11.810 -9.100 1.8 813.000 842521.13 6520316.01
119 0 10.930 -8.940 1.8 813.000 842521.13 6520315.11
120 0 -7.490 -11.680 1.8 813.000 842527.24 6520297.52
121 0 -7.560 -10.900 1.8 813.000 842526.48 6520297.31
122 0 -6.780 -11.670 1.8 813.000 842527.09 6520298.21
123 0 -6.250 -12.060 1.8 813.000 842527.38 6520298.80
124 0 -5.710 -12.750 1.8 813.000 842527.95 6520299.46
125 0 -5.560 -12.150 1.8 813.000 842527.34 6520299.50
126 0 -5.480 -11.650 1.8 813.000 842526.84 6520299.48
127 0 -5.460 -11.150 1.8 813.000 842526.34 6520299.41
128 0 -5.310 -10.600 1.8 813.000 842525.77 6520299.46
129 0 -5.710 -9.930 1.8 813.000 842525.18 6520298.94
130 0 -6.140 -10.000 1.8 813.000 842525.33 6520298.53
131 0 -6.920 -10.120 1.8 813.000 842525.60 6520297.79
132 0 -7.430 -9.970 1.8 813.000 842525.54 6520297.26
133 0 -7.960 -9.860 1.8 813.000 842525.53 6520296.71
134 0 -8.140 -8.960 1.8 813.000 842524.68 6520296.38
135 0 -7.860 -8.830 1.8 813.000 842524.50 6520296.62
136 0 -7.650 -9.120 1.8 813.000 842524.75 6520296.89
137 0 -6.560 -9.080 1.8 813.000 842524.51 6520297.95
138 0 -6.020 -8.820 1.8 813.000 842524.15 6520298.43
139 0 -5.490 -8.930 1.8 813.000 842524.16 6520298.97
140 0 -4.830 -8.700 1.8 813.000 842523.81 6520299.57
141 0 -4.090 -9.030 1.8 813.000 842524.00 6520300.37
142 0 -3.580 -9.450 1.8 813.000 842524.32 6520300.94
143 0 -3.600 -9.780 1.8 813.000 842524.65 6520300.99
144 0 -2.830 -11.330 1.8 813.000 842526.03 6520302.03
145 0 -3.110 -9.710 1.8 813.000 842524.49 6520301.46
146 0 -2.930 -9.960 1.8 813.000 842524.70 6520301.68
147 0 -2.330 -9.880 1.8 813.000 842524.51 6520302.26
148 0 -1.890 -9.670 1.8 813.000 842524.22 6520302.64
149 0 -1.690 -9.910 1.8 813.000 842524.42 6520302.89
150 0 -1.900 -10.910 1.8 813.000 842525.44 6520302.87
151 0 -1.090 -11.320 1.8 813.000 842525.70 6520303.74
152 0 -0.690 -11.750 1.8 813.000 842526.05 6520304.21
153 0 -0.400 -11.730 1.8 813.000 842525.97 6520304.49
154 0 -0.340 -11.270 1.8 813.000 842525.51 6520304.47
155 0 -0.270 -10.620 1.8 813.000 842524.86 6520304.41
156 0 -0.410 -10.120 1.8 813.000 842524.39 6520304.19
157 0 -0.620 -9.650 1.8 813.000 842523.97 6520303.90
158 0 -0.160 -9.700 1.8 813.000 842523.93 6520304.35
159 0 -2.640 -9.420 1.8 813.000 842524.11 6520301.87
160 0 -2.710 -9.010 1.8 813.000 842523.72 6520301.72
161 0 -3.170 -8.810 1.8 813.000 842523.62 6520301.23
162 0 -2.340 -8.870 1.8 813.000 842523.52 6520302.05
163 0 -1.920 -8.530 1.8 813.000 842523.11 6520302.41
164 0 -1.100 -8.710 1.8 813.000 842523.13 6520303.24
165 0 -0.300 -8.960 1.8 813.000 842523.23 6520304.08
166 0 -0.600 -8.520 1.8 813.000 842522.85 6520303.71
167 0 -0.240 -12.240 1.8 813.000 842526.45 6520304.75
168 0 0.530 -12.020 1.8 813.000 842526.08 6520305.46
169 0 0.260 -10.870 1.8 813.000 842525.01 6520304.98
170 0 0.710 -10.950 1.8 813.000 842525.00 6520305.43
171 0 1.050 -11.670 1.8 813.000 842525.64 6520305.91
172 0 1.100 -11.280 1.8 813.000 842525.25 6520305.89
173 0 1.370 -11.010 1.8 813.000 842524.94 6520306.10
174 0 1.620 -12.120 1.8 813.000 842525.98 6520306.55
175 0 1.810 -11.480 1.8 813.000 842525.32 6520306.62
176 0 1.530 -10.530 1.8 813.000 842524.44 6520306.16
177 0 2.020 -10.750 1.8 813.000 842524.56 6520306.69
178 0 3.030 -11.780 1.8 813.000 842525.39 6520307.87
179 0 3.180 -10.640 1.8 813.000 842524.24 6520307.81
180 0 3.840 -11.020 1.8 813.000 842524.49 6520308.53
181 0 4.230 -11.350 1.8 813.000 842524.74 6520308.97
182 0 3.900 -9.230 1.8 813.000 842522.72 6520308.26
183 0 3.040 -9.030 1.8 813.000 842522.68 6520307.38
184 0 2.640 -8.900 1.8 813.000 842522.64 6520306.95
185 0 2.420 -9.220 1.8 813.000 842522.99 6520306.80
186 0 1.830 -9.890 1.8 813.000 842523.75 6520306.35
187 0 1.260 -10.000 1.8 813.000 842523.97 6520305.81
188 0 0.990 -9.390 1.8 813.000 842523.42 6520305.43
189 0 1.870 -9.260 1.8 813.000 842523.13 6520306.26
190 0 0.110 -8.740 1.8 813.000 842522.94 6520304.45
191 0 0.690 -8.810 1.8 813.000 842522.90 6520305.02
192 0 0.450 -9.360 1.8 813.000 842523.48 6520304.89
193 0 5.300 -8.950 1.8 813.000 842522.19 6520309.58
194 0 5.620 -9.220 1.8 813.000 842522.40 6520309.95
195 0 6.240 -9.290 1.8 813.000 842522.35 6520310.57
196 0 6.510 -10.550 1.8 813.000 842523.54 6520311.06
197 0 6.700 -11.570 1.8 813.000 842524.50 6520311.44
198 0 7.180 -11.460 1.8 813.000 842524.31 6520311.89
199 0 7.420 -11.620 1.8 813.000 842524.42 6520312.16
200 0 7.910 -11.620 1.8 813.000 842524.33 6520312.64
201 0 7.860 -11.030 1.8 813.000 842523.76 6520312.48
202 0 7.340 -9.630 1.8 813.000 842522.48 6520311.71
203 0 7.800 -9.480 1.8 813.000 842522.25 6520312.14
204 0 8.150 -9.090 1.8 813.000 842521.80 6520312.41
205 0 7.520 -8.720 1.8 813.000 842521.55 6520311.72
206 0 8.030 -8.870 1.8 813.000 842521.61 6520312.25
207 0 8.760 -9.120 1.8 813.000 842521.72 6520313.01
208 0 8.460 -10.130 1.8 813.000 842522.77 6520312.90
209 0 8.890 -9.960 1.8 813.000 842522.52 6520313.30
210 0 9.280 -10.150 1.8 813.000 842522.63 6520313.71
211 0 9.770 -10.040 1.8 813.000 842522.44 6520314.17
212 0 10.240 -10.690 1.8 813.000 842522.99 6520314.75
213 0 10.480 -10.390 1.8 813.000 842522.65 6520314.94
214 0 10.590 -10.170 1.8 813.000 842522.41 6520315.00
215 0 11.710 -8.430 1.8 813.000 842520.49 6520315.79
216 0 11.100 -8.210 1.8 813.000 842520.39 6520315.14
217 0 9.500 -8.360 1.8 813.000 842520.83 6520313.60
218 0 13.920 -8.430 1.8 813.000 842520.08 6520317.96
219 0 -20.790 -6.780 1.8 813.000 842524.88 6520283.54
220 0 -20.440 -6.920 1.8 813.000 842524.95 6520283.91
221 0 -17.000 -6.600 1.8 813.000 842523.99 6520287.23
222 0 -17.970 -5.750 1.8 813.000 842523.34 6520286.12
223 0 -18.830 -4.690 1.8 813.000 842522.46 6520285.08
224 0 -19.020 -3.870 1.8 813.000 842521.68 6520284.74
225 0 -18.510 -4.180 1.8 813.000 842521.90 6520285.31
226 0 -18.090 -4.070 1.8 813.000 842521.71 6520285.69
227 0 -17.640 -4.470 1.8 813.000 842522.02 6520286.21
228 0 -20.180 -3.950 1.8 813.000 842521.98 6520283.61
229 0 -15.220 -4.740 1.8 813.000 842521.83 6520288.64
230 0 -15.720 -4.510 1.8 813.000 842521.71 6520288.11
231 0 -17.020 -2.960 1.8 813.000 842520.42 6520286.54
232 0 -16.120 -2.890 1.8 813.000 842520.19 6520287.41
233 0 -16.100 -4.190 1.8 813.000 842521.46 6520287.67
