# trajectory data of sequence CCTV
# recorded at 12 fps, extracted at 2 fps and then interpolated at 10 fps for final output
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
262 0 4.044 -1.386 1.8 813.000 842514.99 6520306.95
262 1 4.042 -1.368 1.8 813.100 842514.97 6520306.95
262 2 4.041 -1.350 1.8 813.200 842514.95 6520306.94
262 3 4.039 -1.331 1.8 813.300 842514.93 6520306.94
262 4 4.038 -1.313 1.8 813.400 842514.92 6520306.93
262 5 4.036 -1.295 1.8 813.500 842514.90 6520306.93
262 6 4.016 -1.268 1.8 813.600 842514.88 6520306.90
262 7 3.995 -1.242 1.8 813.700 842514.85 6520306.88
262 8 3.974 -1.216 1.8 813.800 842514.83 6520306.85
262 9 3.953 -1.190 1.8 813.900 842514.81 6520306.83
262 10 3.933 -1.164 1.8 814.000 842514.79 6520306.80
262 11 3.937 -1.135 1.8 814.100 842514.76 6520306.80
262 12 3.940 -1.107 1.8 814.200 842514.73 6520306.80
262 13 3.944 -1.079 1.8 814.300 842514.70 6520306.80
262 14 3.948 -1.051 1.8 814.400 842514.67 6520306.79
262 15 3.952 -1.023 1.8 814.500 842514.65 6520306.79
262 16 3.933 -1.015 1.8 814.600 842514.64 6520306.77
262 17 3.914 -1.007 1.8 814.700 842514.64 6520306.75
262 18 3.894 -0.999 1.8 814.800 842514.63 6520306.73
262 19 3.875 -0.992 1.8 814.900 842514.63 6520306.71
262 20 3.856 -0.984 1.8 815.000 842514.62 6520306.69
262 21 3.867 -0.964 1.8 815.100 842514.60 6520306.70
262 22 3.877 -0.945 1.8 815.200 842514.58 6520306.71
262 23 3.888 -0.926 1.8 815.300 842514.56 6520306.71
